Model,Accuracy,Precision,Recall,F1-score,Confidence
EfficientNet-B0,0.9559,0.9535,0.942,0.9475,0.9856
DenseNet121,0.9501,0.9548,0.9274,0.9396,0.9569
VGG16_BN,0.9482,0.9385,0.94,0.9392,0.9528
MobileNetV2,0.9443,0.9287,0.9442,0.9358,0.9566
ResNet18,0.9386,0.9278,0.9278,0.9278,0.9764
